id,first,last,position,status,hired
52,Eric,Sound,Manager,Current,3/6/1963
2,Jane,Daikon,Developer,Current,10/31/1938
13,Bob,Birri,Designer,Current,6/12/1985
14,Alice,Brown,Tester,Current,4/30/1990
15,Michael,Garcia,Salesperson,Terminated,4/2/1980
16,Emily,Parker,Support,Current,8/15/1984
17,David,Wilson,Operator,Current,1/1/1970
18,Samantha,Davis,Analyst,Terminated,8/15/1984
19,Christopher,Miller,Consultant,Current,8/15/1984
20,Ashley,Wilson,Engineer,Current,10/31/1938
21,Joseph,Moore,Technician,Current,7/4/1976
22,Jennifer,Thomas,Trainer,Current,8/15/1984
23,William,Jackson,Accountant,Current,9/9/1970
24,Elizabeth,White,Receptionist,Current,6/9/1980
25,James,Harris,Administrator,Terminated,2/6/1939
404,Jessica,Martin,Researcher,Current,8/15/1984
27,Robert,Thompson,Writer,Current,10/31/1938
28,Sarah,Gonzalez,Programmer,Current,7/24/1990
29,John,Rodriguez,Marketer,Current,12/14/1988
30,Susan,Baker,Project Manager,Current,10/31/1938
31,David,Lewis,Creative Director,Terminated,1/8/1960
66,Lisa,Foster,HR Manager,Current,6/6/1966
32,William,West,IT Manager,Current,1/2/1956
33,Laura,Bailey,Operations Manager,Current,1/20/1474
34,Christopher,Nguyen,Quality Assurance Manager,Current,10/31/1938
35,Ashley,Moore,Product Manager,Current,5/15/2022
37,Michael,Parker,Software Developer,Current,9/9/1963
38,Samantha,Green,Web Developer,Current,10/1/1970
39,William,Baker,Database Administrator,Terminated,6/12/1982
11,Jessica,Walker,Network Administrator,Terminated,7/4/1976
40,John,Martin,Technical Writer,Current,6/8/1949
50,Sarah,Lee,Technical Support,Current,4/1/1962
51,David,Perez,IT Support,Current,10/31/1938
59,Lisa,Henderson,Systems Administrator,Current,8/15/1984
3,Christopher,Edwards,Help Desk,Current,10/17/1948
4,Ashley,Taylor,Security Specialist,Current,10/18/1948
5,Michael,Hernandez,Security Administrator,Current,2/15/2019
6,Samantha,Lopez,Network Security,Current,8/15/1984
7,Nick,Wiger,Food Services,Current,11/3/1986
8,Mike,Mitchell,Food Services,Current,8/15/1984
9,Yusong,Liu,Audio Producer,Terminated,6/8/1999
1,Emma,Erdbrink,Audio Producer,Current,10/31/2000
99,Fatima,Hassan,CEO,Current,8/12/1948
100,Sasha,Johnson,Product Manager,Current,10/4/1985
101,Oscar,Ego,Outreach Coordinator,Current,10/31/1938
